parameter,n_eff
matchup[229],6626.04427196481
matchup[230],3987.6536863976
matchup[231],5408.85296267961
matchup[232],6450.80883291041
matchup[233],4787.00182752989
matchup[234],5007.59944275675
matchup[235],5103.49752453158
matchup[236],6468.39385014775
matchup[237],6087.94454342937
matchup[238],5029.47946540425
matchup[239],5518.80252762382
matchup[240],6079.26462740076
matchup[241],5005.15992983847
matchup[242],5613.27410893283
matchup[243],5230.2297856624
matchup[244],5365.84797319726
matchup[245],5313.98272871354
matchup[246],5572.60940602992
matchup[247],6222.15298630658
matchup[248],5166.46349944021
matchup[249],5433.70899557802
matchup[250],6199.0709196428
matchup[251],5078.71683367712
matchup[252],5657.60346341136
matchup[253],5660.24022495767
matchup[254],5913.74428501623
matchup[255],5340.64165301544
matchup[256],5585.34000306665
matchup[257],6127.21833176847
matchup[258],6213.20024641438
matchup[259],5922.66341257343
matchup[260],5903.43536768626
matchup[261],6400.93092140183
matchup[262],6592.83460597655
matchup[263],6420.48828628074
matchup[264],6420.48828628074
matchup[265],6280.52152616001
matchup[266],5197.58020047111
matchup[267],6333.194191427
matchup[268],6280.52152616001
matchup[269],5505.09138797842
matchup[270],6420.48828628074
matchup[271],6108.22794545862
matchup[272],5197.58020047111
matchup[273],5037.37532954158
matchup[274],5909.33388542097
matchup[275],5653.29590249007
matchup[276],5197.58020047111
matchup[277],6353.70062918042
matchup[278],6160.91871118226
matchup[279],6592.83460597655
matchup[280],5197.58020047111
matchup[281],5709.90341304143
matchup[282],5511.85893078699
matchup[283],5031.13771440568
matchup[284],5466.65886201109
matchup[285],6089.59144374131
matchup[286],5751.63694418071
matchup[287],5730.44288889261
matchup[288],5197.58020047111
matchup[289],4997.86769533707
matchup[290],4787.26119569217
matchup[291],5872.18207621457
matchup[292],5335.07204333163
matchup[293],5872.18207621457
matchup[294],5392.07708908681
matchup[295],5409.47002366023
matchup[296],5885.44007534425
matchup[297],5933.85570959296
matchup[298],4917.64362719245
matchup[299],5409.47002366023
matchup[300],5714.02585001269
matchup[301],4938.19457036058
matchup[302],5772.10488226446
matchup[303],5301.84717282305
matchup[304],5346.21326203803
matchup[305],5051.26362287633
